,uuid,timestamp,gps_lat,gps_lon,gps_alt,file_size,width,height,s3_path,url
4246,b4a1bad20245591cc0df4c091fec221e64070c99,2015-10-08 17:03:35,33.502591666666696,-79.9464383333333,792.0,4694178.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20187/DSC_0216_a228e221-2b3a-4904-a683-2cf913d95a51.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20187/DSC_0216_a228e221-2b3a-4904-a683-2cf913d95a51.jpg
4921,062ab73f7e443c74d092e7cbf24b49e32af9e81d,2015-10-08 17:31:51,33.390859999999996,-80.2646066666667,471.0,5068670.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20187/DSC_0302_427b2dc3-0bd6-4f70-8aac-d95b2fb121da.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20187/DSC_0302_427b2dc3-0bd6-4f70-8aac-d95b2fb121da.jpg
9102,c939c68de2fd69696d9429021de37b4046801d0d,2017-09-26 12:37:40,18.209281666666698,-65.74155999999999,276.0,8322582.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-93_4b1a5023-219f-41a6-a534-473fee0eef4b.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-93_4b1a5023-219f-41a6-a534-473fee0eef4b.jpg
9226,0573fd78b34453b70d61bafa602222dc753f3c98,2017-09-01 21:55:28,30.435776666666698,-93.7154,259.0,10925385.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613547/DSC_3570_4dd70dbe-b78f-4799-b4d5-618633ffe4e2.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613547/DSC_3570_4dd70dbe-b78f-4799-b4d5-618633ffe4e2.jpg
9251,a1b0c11f013ccf18895c21484a553f8ee71a3276,2017-09-10 11:08:07,29.849158333333303,-95.6712716666667,312.0,11377360.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613823/DSC_9975_e4ed2343-90e9-427c-90bb-0b798a57ce92.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613823/DSC_9975_e4ed2343-90e9-427c-90bb-0b798a57ce92.jpg
9763,839e17a5eb3a6b2f0c1e95ac2a4152ad835dd7ed,2017-09-07 12:43:20,29.8604983333333,-95.139545,306.0,13650200.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613946/DSC_6682_d744a727-3d32-4c95-8fda-0aaca6079eba.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613946/DSC_6682_d744a727-3d32-4c95-8fda-0aaca6079eba.jpg
9843,6fd2777176ffc74b131d5eb13a8fe08ae2ba7a7a,2017-10-04 16:35:37,18.267181666666698,-65.628325,468.0,4459549.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614045/A0085_AP_099bc50f-fc3c-40bf-ac87-e7978d248974.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614045/A0085_AP_099bc50f-fc3c-40bf-ac87-e7978d248974.jpg
10348,5ebc31087fd9a70ee842fbe54e4f2559a1378e9c,2017-09-10 09:57:03,29.7212833333333,-95.70833,307.0,11861178.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613823/DSC_7918_3fd49c51-efc7-4053-bb4c-f3049e24b57d.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613823/DSC_7918_3fd49c51-efc7-4053-bb4c-f3049e24b57d.jpg
12679,08e032dc81c89ee72d9dfd8cf33ef15ad1cb5f0a,2017-10-19 17:33:22,17.984804999999998,-65.8840316666667,305.0,6183339.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614146/A0050_AP_7bc3688d-02ee-4d2d-9d05-bda8a50084a5.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614146/A0050_AP_7bc3688d-02ee-4d2d-9d05-bda8a50084a5.jpg
12696,cd5fe3f81e180a5ff37561c6370129db688eff82,2017-09-08 16:06:42,18.455183333333302,-66.0908316666667,345.0,6245738.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613600/DSC_1412_712c4990-ea51-438d-8e67-30cd2318bd60.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613600/DSC_1412_712c4990-ea51-438d-8e67-30cd2318bd60.jpg
12844,336f7bf064e074b054a4c0c4ada13354de8c5846,2016-10-09 18:18:12,31.951965,-80.8729633333333,400.0,6193620.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/3045/291518/DSC_0782_cb71353f-10dc-4c54-83e3-c1a36082a113.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/3045/291518/DSC_0782_cb71353f-10dc-4c54-83e3-c1a36082a113.jpg
13469,2fa50cdff943d7722cb249788e721f12375b6767,2017-09-01 15:42:34,29.954266666666697,-94.066025,305.0,13087489.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613544/DSC_0349_275b566d-79e1-4ed7-a5a8-2ac4c1ff4e12.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613544/DSC_0349_275b566d-79e1-4ed7-a5a8-2ac4c1ff4e12.jpg
13537,60734e8c497d3c9e2a17536dfa36b5663cbcc73e,2016-10-09 18:19:12,31.953011666666697,-80.9028483333333,232.0,6219507.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/3045/291518/DSC_0794_360ff2a1-59c5-4350-a036-7e5a01eedc13.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/3045/291518/DSC_0794_360ff2a1-59c5-4350-a036-7e5a01eedc13.jpg
14041,8ea555fb6e66c93a5299f24868f92bb37cb21cf4,2017-09-08 11:34:44,29.7876816666667,-95.5034833333333,380.0,14079668.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613897/DSC_4971_416ee98d-b2e1-4cd0-873c-e73f284dff6a.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613897/DSC_4971_416ee98d-b2e1-4cd0-873c-e73f284dff6a.jpg
14546,1b9e7805a3097d4ac4c6b624ff5b650742c802fd,2017-10-04 16:47:25,18.379643333333302,-65.6520416666667,403.0,6543448.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614045/A0085_AP_4c99c0cd-be9a-48e7-be37-4c967a223ef5.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614045/A0085_AP_4c99c0cd-be9a-48e7-be37-4c967a223ef5.jpg
15638,a6767c949d149e2af8272844f82b4de963886f9d,2016-10-09 14:30:53,29.251566666666697,-81.21353,508.0,10009530.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/3042/291505/DSC_1125_d58e17a7-dc01-43fa-a44e-4d73c7fb64fc.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/3042/291505/DSC_1125_d58e17a7-dc01-43fa-a44e-4d73c7fb64fc.jpg
16480,110aecee7ce103cf681503fb43dcf83f0e3d4339,2016-10-09 14:34:12,29.2045616666667,-81.19166,492.0,9903231.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/3042/291505/DSC_1152_e4698d35-0b24-495b-b935-746565c69311.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/3042/291505/DSC_1152_e4698d35-0b24-495b-b935-746565c69311.jpg
16940,188ff460cb9b84edef39765423bccc7f3f130ba3,2017-09-09 14:52:08,18.3112633333333,-65.311385,407.0,9532474.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613608/DSC_1708_282243ee-74e8-4677-b70e-55b4cfff4694.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613608/DSC_1708_282243ee-74e8-4677-b70e-55b4cfff4694.jpg
17184,c887a0a95e262dd001c4da94ce9fb140fb063c06,2017-09-09 14:55:40,18.3254866666667,-65.3127833333333,369.0,9091281.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613608/DSC_1754_e2ec7c93-029b-48b2-a720-7685f3920002.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613608/DSC_1754_e2ec7c93-029b-48b2-a720-7685f3920002.jpg
17535,8e2df11e6e4e1493a6f1a04d21a503a74ff63816,2017-09-26 12:57:57,18.230571666666698,-65.6285366666667,388.0,7056995.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-96_14bae07e-5f47-4126-bf84-55010186b655.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-96_14bae07e-5f47-4126-bf84-55010186b655.jpg
17984,ef7883b4904097a7bc1b88f4d45a1b89403e4cb2,2016-10-09 18:36:04,31.9666733333333,-80.9154783333333,512.0,6325872.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/3045/291518/DSC_0982_516d9796-b4f0-4975-aa37-522740a6d8de.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/3045/291518/DSC_0982_516d9796-b4f0-4975-aa37-522740a6d8de.jpg
18085,7b4a9df37712e43b035f904766452fefef6e54e6,2017-09-09 15:14:04,18.14347,-65.4349,569.0,9986172.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613608/DSC_1844_da766982-3b6d-482b-903d-0579e4232a4c.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613608/DSC_1844_da766982-3b6d-482b-903d-0579e4232a4c.jpg
18086,7964e860afb7ddce2b2d3019b46e6fe36360afb8,2017-09-09 15:14:06,18.14265,-65.4353983333333,559.0,10155587.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613608/DSC_1845_bafc92f7-b13b-4c50-8d9d-13ab68ae65ff.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613608/DSC_1845_bafc92f7-b13b-4c50-8d9d-13ab68ae65ff.jpg
18088,62fe7439feba51d6d7b3ed009220a138bc2c1c19,2017-09-09 15:14:21,18.136483333333302,-65.43944499999999,514.0,13355586.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613608/DSC_1847_39bd7635-eda9-492c-90c0-b42a63d4fd20.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613608/DSC_1847_39bd7635-eda9-492c-90c0-b42a63d4fd20.jpg
18089,2f048dcc7ddd81fde77d7f5c43c4842d72017261,2017-09-09 15:14:29,18.132635,-65.4420333333333,496.0,10504404.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613608/DSC_1848_fe176fba-8d0d-4e6e-9235-539900167f2e.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613608/DSC_1848_fe176fba-8d0d-4e6e-9235-539900167f2e.jpg
18170,2b4810a34c41df4f07e27c1b3676f8931c8c5fa7,2017-09-01 15:47:37,29.955296666666698,-94.0761183333333,325.0,13326120.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613544/DSC_0479_7e5aa37e-6191-4d93-81e0-e6a60669202f.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613544/DSC_0479_7e5aa37e-6191-4d93-81e0-e6a60669202f.jpg
19395,bb60cb646daea35a020ba069588b5ee3144a634d,2017-09-08 18:34:17,29.9966233333333,-93.9295566666667,326.0,15291943.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613904/CAP_1308_8a134dc1-53d5-4f7b-a1f9-f1f37c767769.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613904/CAP_1308_8a134dc1-53d5-4f7b-a1f9-f1f37c767769.jpg
19434,86ba2b3e7cb124ac42ac56fe31fc7369909dc0e3,2017-09-09 15:26:41,18.141885000000002,-65.494055,449.0,11546656.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613608/DSC_1974_0720cc00-9a24-47f0-83bc-bd8f508ca0da.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613608/DSC_1974_0720cc00-9a24-47f0-83bc-bd8f508ca0da.jpg
19435,0bde7210e6714c6a4dd6aff70e44eb623c7c0cd4,2017-09-09 15:26:42,18.141885000000002,-65.494055,448.0,12672410.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613608/DSC_1975_06bc734b-dc9e-4fc5-8eab-4cbdc1747aed.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613608/DSC_1975_06bc734b-dc9e-4fc5-8eab-4cbdc1747aed.jpg
20362,45bae28d6121ad157705711935552f1aae326182,2017-09-10 09:14:56,29.9153,-95.555185,155.0,10248886.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613823/DSC_6892_77567769-dae9-4d9c-a6ef-84b053dbd5eb.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613823/DSC_6892_77567769-dae9-4d9c-a6ef-84b053dbd5eb.jpg
20660,6f63ecae932df18a22411191ca45a5641dcef092,2017-10-19 15:14:11,18.1462966666667,-66.4030483333333,1017.0,6223320.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614146/A0050_AP_d206f8f9-fd7f-451c-a3e4-08d9c75dded0.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614146/A0050_AP_d206f8f9-fd7f-451c-a3e4-08d9c75dded0.jpg
22536,5b012679f625936e96b51d8642e9c791049a55d1,2017-10-19 10:56:38,18.299875,-66.1281233333333,468.0,6139941.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614146/A0050_AP_e4ada9a0-8097-4287-8531-c4ffc238fac5.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614146/A0050_AP_e4ada9a0-8097-4287-8531-c4ffc238fac5.jpg
22709,6513cc38967e240108fe78d175b59b8f2dc51c57,2017-09-26 13:25:35,18.273446666666697,-65.6377266666667,328.0,8416164.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-98_0414c6fa-bfca-4a5f-9b5d-ca9812c26a04.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-98_0414c6fa-bfca-4a5f-9b5d-ca9812c26a04.jpg
22987,95602ae21ce80e5db6bc2325e6e1eef85d7203e9,2017-09-10 14:05:10,29.72845,-95.6301733333333,330.0,11472690.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613823/DSC_1671_01d2db81-21b3-4747-8d62-3265c9a74bb7.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613823/DSC_1671_01d2db81-21b3-4747-8d62-3265c9a74bb7.jpg
23167,4438ae4d78e572437fcaa320273f9ff131661f23,2017-10-04 16:48:22,18.3585083333333,-65.652795,485.0,6471342.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614045/A0085_AP_b76e57b2-5337-44b7-a76a-be8b477fa01c.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614045/A0085_AP_b76e57b2-5337-44b7-a76a-be8b477fa01c.jpg
23721,7f1432aeee5409bada9099924573c91190fe4cf5,2017-09-08 12:54:26,29.9145516666667,-95.4664433333333,378.0,14654933.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613897/DSC_5549_da783a21-e736-415b-a817-51bfc936b1ec.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613897/DSC_5549_da783a21-e736-415b-a817-51bfc936b1ec.jpg
24436,ddb1c3fbc00d0ddec555234f007457fd92189169,2017-09-08 12:59:40,29.743573333333302,-95.4681966666667,382.0,13080946.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613897/DSC_5615_c762ce89-c66e-42f6-ac2a-842a19d9bc6d.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613897/DSC_5615_c762ce89-c66e-42f6-ac2a-842a19d9bc6d.jpg
25130,1883ec79bb56e2c560cabdac25cce25a13a4b389,2017-09-07 12:53:22,29.547566666666697,-95.1395033333333,298.0,12906951.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613946/DSC_7113_7b5f62a1-5082-4585-91c9-bc176cd286fe.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613946/DSC_7113_7b5f62a1-5082-4585-91c9-bc176cd286fe.jpg
26501,f82ef8466aee196ca4dc933c78ed8b1ec2d6c252,2017-09-26 13:27:28,18.2775533333333,-65.6434316666667,299.0,6967329.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-99_8518186b-27f1-45a3-9f3d-0755740305ed.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-99_8518186b-27f1-45a3-9f3d-0755740305ed.jpg
27145,398c46dbb683d3a612b2714da6ad5e32e8fe3129,2016-10-09 15:07:57,29.1827916666667,-81.1534566666667,446.0,9420526.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/3042/291505/DSC_1515_908bf481-627b-43e0-b3c3-1284b8b0589c.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/3042/291505/DSC_1515_908bf481-627b-43e0-b3c3-1284b8b0589c.jpg
28438,f223c45210eb2955d4201acc128dd6796a86ac05,2017-10-04 20:21:47,18.40642,-65.85468,404.0,7410140.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614046/A0079_AP_12b99b61-3271-4137-91f7-38c79abbd9dd.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614046/A0079_AP_12b99b61-3271-4137-91f7-38c79abbd9dd.jpg
28524,5b724ff834e94a2986131293e48d06a16a2b826e,2017-09-07 12:56:02,29.463793333333303,-95.13943,296.0,12678599.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613946/DSC_7232_0ab76c22-4aef-4953-8300-02ac8956d31e.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613946/DSC_7232_0ab76c22-4aef-4953-8300-02ac8956d31e.jpg
28714,5db7894113a764501156753a4c183ce779629101,2016-10-09 15:17:03,29.23953,-80.986375,467.0,8587048.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/3042/291505/DSC_1561_efdc56db-d1d7-49c8-9118-c00ad900546c.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/3042/291505/DSC_1561_efdc56db-d1d7-49c8-9118-c00ad900546c.jpg
29155,5a91192c3fd5cec2104002057157a2205662b3db,2017-09-18 13:19:04,27.934434999999997,-82.14647,324.0,11543186.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613834/DSC_3675_d9e8a71b-b8e5-4efc-800a-9baa5249d970.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613834/DSC_3675_d9e8a71b-b8e5-4efc-800a-9baa5249d970.jpg
31499,abdd56fa39f19db910ec7f0b29123dcd17438f25,2017-09-18 13:46:14,27.9997483333333,-82.3252116666667,330.0,10763238.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613834/DSC_3770_af5a0c81-f060-4f78-9bb6-a9a06f46e727.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613834/DSC_3770_af5a0c81-f060-4f78-9bb6-a9a06f46e727.jpg
31520,1182d1e3e792af90aa54c02a8713f8038d12d177,2017-09-08 09:22:02,29.523090000000003,-95.737965,343.0,12746720.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613898/DSC_3917_14321291-17e8-4682-b1e2-b3adbdfa59f0.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613898/DSC_3917_14321291-17e8-4682-b1e2-b3adbdfa59f0.jpg
31935,1e7367b3ccd78cb574436ec7bce8f632bb170137,2017-09-08 15:00:01,29.244609999999998,-96.1009116666667,302.0,12228975.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613884/DSC_8789_83301d6d-6bd6-4ec6-bc6d-ae503f5462d1.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613884/DSC_8789_83301d6d-6bd6-4ec6-bc6d-ae503f5462d1.jpg
36771,f9e66c411207276160222582e01efe73d6f3d13b,2016-10-09 17:09:39,29.029951666666697,-80.9786633333333,447.0,8919872.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/3042/291505/DSC_1820_b8704c04-3016-465c-81d5-b6c967913bfe.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/3042/291505/DSC_1820_b8704c04-3016-465c-81d5-b6c967913bfe.jpg
37262,28ab6df757da70fa84be83be8eb69fedcee83849,2017-10-10 12:33:00,18.0346816666667,-66.5495316666667,335.0,4960841.0,3600.0,2400.0,s3://ladi/Images/FEMA_CAP/9075/614073/A0014_AP_6bb8fcd1-950f-4dde-b798-e26dbb7823fa.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614073/A0014_AP_6bb8fcd1-950f-4dde-b798-e26dbb7823fa.jpg
38648,77f03c037c018e53255b5c9b77100a7b1fa09fb1,2017-10-10 12:20:04,18.0482666666667,-66.4997566666667,409.0,4773588.0,3600.0,2400.0,s3://ladi/Images/FEMA_CAP/9075/614073/A0014_AP_dc6e3420-6ad5-48bf-926d-bbdfb45dc45d.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614073/A0014_AP_dc6e3420-6ad5-48bf-926d-bbdfb45dc45d.jpg
40625,69b2b431dc573c0a3db86cd557be99f9e05937b8,2016-10-09 17:22:20,29.037551666666698,-80.9413516666667,433.0,9280066.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/3042/291505/DSC_1957_ff6ce50a-a176-4f21-8af3-71d774d2cdc4.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/3042/291505/DSC_1957_ff6ce50a-a176-4f21-8af3-71d774d2cdc4.jpg
40859,149b88e552a7f8a69ef7079cea404cc0ec9c8efe,2017-09-01 19:59:09,29.520115000000004,-95.5472216666667,289.0,9173302.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613546/DSC_0740_fde123ae-2ba5-405d-a0fa-6a919b07b280.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613546/DSC_0740_fde123ae-2ba5-405d-a0fa-6a919b07b280.jpg
41309,45dcb887ea20644a21539741aa4fd4eb7c0863f8,2017-09-12 18:06:45,32.764615,-79.8164933333333,274.0,13099080.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613711/DSC_0316_bababfb6-f5c2-4c83-92d5-f3181b4507d1.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613711/DSC_0316_bababfb6-f5c2-4c83-92d5-f3181b4507d1.jpg
